instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
88.0,2011-01-04,1.0,0.0,1.0,19.0,False,2.0,1.0,9.84,0.2576,0.48,0.1045,2.0,110.0,112.0
89.0,2011-01-04,1.0,0.0,1.0,20.0,False,2.0,1.0,9.84,0.2576,0.48,0.1045,1.0,53.0,54.0
90.0,2011-01-04,1.0,0.0,1.0,21.0,False,2.0,1.0,9.02,0.2727,0.64,0.0,0.0,48.0,48.0
91.0,2011-01-04,1.0,0.0,1.0,22.0,False,2.0,1.0,9.02,0.2576,0.64,0.0896,1.0,34.0,35.0
92.0,2011-01-04,1.0,0.0,1.0,23.0,False,2.0,1.0,8.200000000000001,0.2273,0.69,0.0896,2.0,9.0,11.0
93.0,2011-01-05,1.0,0.0,1.0,0.0,False,3.0,1.0,8.200000000000001,0.2576,0.64,0.0,0.0,6.0,6.0
94.0,2011-01-05,1.0,0.0,1.0,1.0,False,3.0,1.0,6.5600000000000005,0.197,0.74,0.0896,0.0,6.0,6.0
95.0,2011-01-05,1.0,0.0,1.0,2.0,False,3.0,1.0,6.5600000000000005,0.197,0.74,0.0896,0.0,2.0,2.0
96.0,2011-01-05,1.0,0.0,1.0,4.0,False,3.0,1.0,9.84,0.2273,0.48,0.2239,0.0,2.0,2.0
97.0,2011-01-05,1.0,0.0,1.0,5.0,False,3.0,1.0,9.02,0.2273,0.47,0.1642,0.0,3.0,3.0
98.0,2011-01-05,1.0,0.0,1.0,6.0,False,3.0,1.0,8.200000000000001,0.197,0.47,0.2239,0.0,33.0,33.0
99.0,2011-01-05,1.0,0.0,1.0,7.0,False,3.0,1.0,7.38,0.1818,0.43,0.194,1.0,87.0,88.0
101.0,2011-01-05,1.0,0.0,1.0,9.0,False,3.0,1.0,9.02,0.197,0.37,0.3284,6.0,109.0,115.0
102.0,2011-01-05,1.0,0.0,1.0,10.0,False,3.0,1.0,9.02,0.197,0.37,0.3284,4.0,53.0,57.0
103.0,2011-01-05,1.0,0.0,1.0,11.0,False,3.0,1.0,10.66,0.2273,0.33,0.3284,12.0,34.0,46.0
104.0,2011-01-05,1.0,0.0,1.0,12.0,False,3.0,1.0,10.66,0.2273,0.33,0.3284,5.0,74.0,79.0
105.0,2011-01-05,1.0,0.0,1.0,13.0,False,3.0,1.0,11.48,0.2576,0.3,0.2985,6.0,65.0,71.0
106.0,2011-01-05,1.0,0.0,1.0,14.0,False,3.0,1.0,12.299999999999999,0.2879,0.28,0.194,10.0,52.0,62.0
107.0,2011-01-05,1.0,0.0,1.0,15.0,False,3.0,1.0,12.299999999999999,0.2879,0.28,0.194,7.0,55.0,62.0
108.0,2011-01-05,1.0,0.0,1.0,16.0,False,3.0,1.0,12.299999999999999,0.3182,0.28,0.0896,4.0,85.0,89.0
111.0,2011-01-05,1.0,0.0,1.0,19.0,False,3.0,1.0,9.84,0.2576,0.38,0.1045,5.0,127.0,132.0
112.0,2011-01-05,1.0,0.0,1.0,20.0,False,3.0,1.0,9.02,0.2273,0.47,0.1642,7.0,82.0,89.0
113.0,2011-01-05,1.0,0.0,1.0,21.0,False,3.0,1.0,8.200000000000001,0.197,0.51,0.194,3.0,40.0,43.0
114.0,2011-01-05,1.0,0.0,1.0,22.0,False,3.0,1.0,7.38,0.197,0.55,0.1343,1.0,41.0,42.0
115.0,2011-01-05,1.0,0.0,1.0,23.0,False,3.0,1.0,8.200000000000001,0.2576,0.47,0.0,1.0,18.0,19.0
116.0,2011-01-06,1.0,0.0,1.0,0.0,False,4.0,1.0,7.38,0.2424,0.55,0.0,0.0,11.0,11.0
117.0,2011-01-06,1.0,0.0,1.0,1.0,False,4.0,1.0,6.5600000000000005,0.2273,0.64,0.0,0.0,4.0,4.0
118.0,2011-01-06,1.0,0.0,1.0,2.0,False,4.0,1.0,6.5600000000000005,0.2273,0.64,0.0,0.0,2.0,2.0
119.0,2011-01-06,1.0,0.0,1.0,4.0,False,4.0,2.0,6.5600000000000005,0.197,0.64,0.0896,0.0,1.0,1.0
120.0,2011-01-06,1.0,0.0,1.0,5.0,False,4.0,2.0,5.74,0.1818,0.69,0.0896,0.0,4.0,4.0
121.0,2011-01-06,1.0,0.0,1.0,6.0,False,4.0,2.0,5.74,0.1667,0.63,0.1045,0.0,36.0,36.0
122.0,2011-01-06,1.0,0.0,1.0,7.0,False,4.0,2.0,6.5600000000000005,0.2273,0.59,0.0,0.0,95.0,95.0
124.0,2011-01-06,1.0,0.0,1.0,9.0,False,4.0,2.0,7.38,0.2424,0.51,0.0,6.0,116.0,122.0
125.0,2011-01-06,1.0,0.0,1.0,10.0,False,4.0,1.0,8.200000000000001,0.2576,0.47,0.0,3.0,42.0,45.0
126.0,2011-01-06,1.0,0.0,1.0,11.0,False,4.0,1.0,9.02,0.2576,0.44,0.0896,2.0,57.0,59.0
127.0,2011-01-06,1.0,0.0,1.0,12.0,False,4.0,1.0,10.66,0.2879,0.35,0.0,6.0,78.0,84.0
128.0,2011-01-06,1.0,0.0,1.0,13.0,False,4.0,1.0,10.66,0.2727,0.35,0.1045,12.0,55.0,67.0
129.0,2011-01-06,1.0,0.0,1.0,14.0,False,4.0,1.0,11.48,0.2727,0.36,0.1642,11.0,59.0,70.0
130.0,2011-01-06,1.0,0.0,1.0,15.0,False,4.0,1.0,11.48,0.2727,0.36,0.0,8.0,54.0,62.0
131.0,2011-01-06,1.0,0.0,1.0,16.0,False,4.0,1.0,10.66,0.2576,0.38,0.1642,12.0,74.0,86.0
134.0,2011-01-06,1.0,0.0,1.0,19.0,False,4.0,1.0,9.02,0.2576,0.55,0.0896,3.0,109.0,112.0
